"""1769235832063781,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 -14 -3 -14 -3 -14 -2 -14 -2 -14 -1 -14 -1 -14 -1 -13 -1 -13 -1 -13 -1 -13 -1 -13 0 -13 0 -13 0 -13 0 -13 0 -12 0 -12 0 -12 0 -12 -1 -12 -1 -12 -1 -12 0 0 0 -12 -1 -12 -2 -12 -2 -11 -1 -12 -1 -11 -2 -12 -2 -12 -2 -12 -2 -12 -3 -12 -3 -12 -3 -12 -3 -12 -3 -12 -3 -12 -3 -12 -4 -13 -4 -12 -3 -12 -4 -13 -4 -12 -4 -13 -4 -13 -5 -12 -4 -12 0 0 0 0 0 0 0 0 0 0]"""
"""1769235832070629,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -15 2 -15 1 -15 1 -15 1 -15 0 -15 0 -15 -1 -15 -2 -15 -1 -15 -2 -15 -2 -15 -2 -14 -3 -15 -3 -14 -3 -14 -2 -13 -3 -14 -3 -14 -3 -14 -3 -14 -3 -13 -3 -14 -3 -13 -3 -13 -2 -13 -2 0 0 -13 -2 -13 -1 -13 -1 -13 -1 -13 -1 -13 -1 -13 -1 -13 -1 -12 0 -13 0 -13 1 -13 0 -13 1 -13 0 -13 1 -13 1 -14 1 -14 2 -14 2 -14 2 -14 2 -14 2 -14 2 -14 2 -14 3 -14 3 0 0 0 0 0 0 0 0 0 0]"""
"""1769235832075007,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -15 -10 -14 -10 -13 -11 -13 -11 -13 -11 -13 -12 -12 -12 -12 -12 -12 -12 -12 -12 -11 -12 -11 -12 -11 -13 -10 -12 -10 -13 -9 -12 -10 -12 -10 -12 -10 -12 -10 -11 -10 -11 -10 -11 -10 -11 -10 -11 -10 -11 -10 -11 0 0 -10 -10 -10 -10 -11 -10 -10 -10 -11 -10 -10 -9 -11 -9 -11 -9 -11 -8 -11 -8 -12 -8 -12 -8 -12 -8 -13 -8 -11 -8 -13 -7 -13 -7 -13 -7 -13 -7 -13 -7 -14 -6 -14 -7 -14 -6 -14 -7 -14 -7 -15 -6 0 0 0 0 0 0 0 0 0 0]"""
"""1769235832079409,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 12 3 12 3 12 4 12 4 11 5 11 5 11 5 11 5 11 5 11 6 11 6 10 6 10 6 10 6 10 7 10 6 9 6 10 7 9 6 9 6 9 6 9 6 9 6 9 6 9 6 9 6 0 0 9 5 8 5 9 5 9 5 9 5 9 5 9 4 10 5 9 4 10 4 10 4 10 4 10 4 10 4 11 3 10 3 11 3 11 3 11 3 11 3 11 3 11 3 11 3 11 3 12 3 12 3 0 0 0 0 0 0 0 0 0 0]"""
"""1769235832085922,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 19 6 19 7 17 9 18 9 18 9 18 10 17 11 16 11 16 10 16 12 16 11 15 12 16 12 16 11 14 12 14 12 14 12 13 11 13 12 13 12 13 11 13 11 13 11 13 11 12 10 13 10 0 0 13 10 13 9 14 9 13 9 14 9 14 9 14 9 14 8 14 8 14 7 14 6 15 7 15 7 16 7 15 6 16 6 15 6 16 5 16 6 16 6 16 6 16 6 17 6 17 5 17 5 17 4 0 0 0 0 0 0 0 0 0 0]"""
"""1769235832090335,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 11 -17 11 -17 12 -17 12 -17 13 -16 14 -16 13 -15 13 -15 14 -14 15 -14 15 -14 15 -14 15 -13 14 -13 15 -13 15 -12 14 -12 14 -13 14 -11 14 -11 14 -11 13 -11 13 -11 13 -11 13 -11 13 -11 0 0 12 -12 12 -12 12 -11 12 -12 12 -12 11 -12 11 -13 11 -12 11 -13 10 -13 10 -14 10 -14 10 -14 10 -14 10 -15 9 -15 9 -14 9 -15 10 -16 9 -15 9 -16 9 -16 9 -16 9 -16 9 -17 9 -17 0 0 0 0 0 0 0 0 0 0]"""
"""1769235832094707,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -5 -14 -5 -15 -4 -15 -4 -15 -4 -15 -3 -15 -3 -15 -2 -16 -2 -15 -2 -15 -2 -15 -1 -15 -1 -15 -1 -14 -1 -15 -1 -14 0 -14 0 -14 -1 -14 0 -14 0 -13 0 -13 -1 -13 -1 -13 0 -13 -1 -13 0 0 -1 -13 -2 -13 -1 -13 -2 -13 -2 -13 -3 -13 -2 -13 -2 -12 -3 -12 -3 -12 -4 -13 -3 -13 -4 -13 -4 -13 -4 -13 -4 -14 -5 -13 -5 -13 -5 -14 -5 -13 -5 -14 -5 -13 -5 -14 -6 -13 -6 -14 -6 -13 0 0 0 0 0 0 0 0 0 0]"""
"""1769235832101227,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 8 -12 9 -12 9 -12 10 -11 10 -11 11 -11 10 -10 11 -10 11 -10 11 -9 11 -9 11 -9 11 -9 11 -9 12 -8 10 -9 11 -8 11 -9 11 -8 11 -8 10 -7 10 -8 10 -8 10 -8 10 -8 10 -8 0 0 10 -8 9 -8 9 -8 9 -8 9 -9 9 -9 9 -9 8 -9 8 -9 8 -10 8 -10 8 -9 8 -10 8 -10 8 -10 8 -11 8 -11 8 -11 8 -11 8 -11 8 -11 7 -11 8 -11 7 -12 7 -12 8 -12 0 0 0 0 0 0 0 0 0 0]"""
"""1769235832105556,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -13 -2 -13 -2 -14 -2 -13 -3 -13 -4 -13 -4 -13 -5 -13 -5 -13 -5 -13 -6 -13 -5 -12 -6 -12 -6 -12 -6 -11 -6 -12 -6 -12 -6 -12 -6 -11 -6 -11 -6 -11 -6 -11 -6 -11 -6 -11 -5 -11 -5 -10 -5 0 0 -10 -5 -10 -5 -11 -4 -11 -4 -11 -5 -10 -4 -11 -4 -11 -4 -11 -3 -12 -4 -12 -3 -11 -3 -11 -3 -12 -3 -12 -3 -11 -3 -12 -3 -12 -3 -13 -2 -12 -3 -13 -3 -13 -3 -13 -3 -13 -2 -13 -2 -13 -2 0 0 0 0 0 0 0 0 0 0]"""
"""1769235832112037,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 -10 -23 -9 -22 -9 -23 -8 -24 -7 -24 -7 -24 -6 -24 -5 -24 -5 -23 -4 -24 -3 -24 -3 -23 -3 -23 -2 -23 -2 -22 -3 -22 -2 -22 -2 -22 -3 -22 -2 -21 -2 -21 -2 -21 -2 -21 -2 -21 -2 -20 -2 -20 0 0 -3 -20 -4 -19 -3 -19 -4 -20 -5 -20 -5 -19 -5 -19 -6 -19 -6 -19 -6 -19 -6 -19 -6 -19 -6 -19 -7 -18 -8 -19 -8 -18 -9 -20 -9 -19 -9 -19 -10 -19 -10 -19 -10 -18 -10 -19 -11 -20 -10 -19 -11 -19 0 0 0 0 0 0 0 0 0 0]"""
"""1769235832116357,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 4 12 3 12 3 12 3 12 2 13 2 12 1 13 1 13 1 12 1 13 1 12 0 12 1 12 0 12 0 12 0 11 0 11 0 11 0 12 1 11 0 11 0 11 0 11 0 11 1 11 1 11 0 0 1 10 1 11 2 10 2 10 1 11 2 10 2 10 2 10 2 10 3 10 3 10 3 10 4 10 4 10 4 10 4 10 5 10 4 10 5 10 5 10 5 11 6 10 5 10 6 10 6 10 5 11 0 0 0 0 0 0 0 0 0 0]"""
"""1769235832120731,CSI_DATA,STATION,00:00:00:00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,[84 -64 4 0 0 0 0 0 0 0 0 0 13 -10 14 -10 14 -8 13 -8 15 -8 14 -7 15 -7 15 -7 15 -6 15 -6 15 -5 15 -5 14 -4 15 -5 14 -4 14 -4 14 -4 14 -3 13 -4 14 -4 13 -4 13 -4 13 -4 13 -3 13 -3 12 -5 0 0 12 -5 12 -4 12 -5 13 -5 12 -5 12 -5 12 -5 11 -5 12 -6 12 -7 11 -7 12 -6 12 -6 12 -6 12 -8 11 -7 12 -8 11 -8 11 -8 11 -9 12 -8 11 -8 12 -8 11 -9 12 -9 12 -9 0 0 0 0 0 0 0 0 0 0]"""
