model,score,fall_f1,sensitivity,specificity,auc,macro_f1,accuracy
ResNet1D,0.9989541782943429,0.9977628635346756,0.9999999999991032,0.9984610649427521,0.9999969635362105,0.9984964017349953,0.9988542621448213
CNN_Attn_BiLSTM,0.9919129892738112,0.9875111507582516,0.9928251121067329,0.9938442597719317,0.9995064366131283,0.9915970801586509,0.9935838680109991
1DCNN_BiLSTM,0.9768302525324463,0.9575021682567216,0.9901345291470941,0.9732225300089341,0.9983846012639971,0.9711210623282985,0.9775435380384968
2DCNN_LSTM,0.9509372146158118,0.9077368638808441,0.9838565022412701,0.9369036626651471,0.9953271582701542,0.9362008673706232,0.9489000916590284
TCN,0.9402144001131152,0.8832731648616126,0.9874439461874552,0.9147429978452094,0.9942094635534631,0.9183005760154093,0.9333180568285976
PatchTransformer,0.9302215032201446,0.8724939855653568,0.9757847533623536,0.910433979685777,0.9870715653108856,0.9107416992311865,0.9271310724106324
